"OBJECTID","nom_rio"
28517,"Tram de_( BARRANC DEL POU )"
28519,"Tram de_( RIU DE SIURANA )"
28520,"Tram de_( RIU DE SIURANA )"
28521,"Tram de_( SIN NOMBRE )"
28522,"Tram de_( RIU DE SIURANA )"
28523,"Tram de_( RIU DE SIURANA )"
28524,"BARRANC DE VILA"
28526,"Tram de_( BARRANC DE VILA )"
28527,"Tram de_( BARRANC DE VILA )"
28528,"BARRANC DELS MOLINS"
28530,"Tram de_( BARRANC DELS MOLINS )"
28531,"Tram de_( BARRANC DELS MOLINS )"
28532,"Tram de_( SIN NOMBRE )"
28534,"Tram de_( BARRANC DELS MOLINS )"
28535,"BARRANC DEL BARTOLI"
28536,"Tram de_( BARRANC DEL BARTOLI )"
28537,"Tram de_( SIN NOMBRE )"
28538,"Tram de_( BARRANC DEL BARTOLI )"
28540,"Tram de_( RIU DE SIURANA )"
28542,"BARRANC FONDO"
28543,"Tram de_( BARRANC FONDO )"
28544,"Tram de_( RIU DE SIURANA )"
28545,"Tram de_( RIU DE SIURANA )"
28547,"Tram de_( RIU DE SIURANA )"
28548,"Tram de_( RIU DE SIURANA )"
28549,"Tram de_( RIU DE SIURANA )"
28550,"Tram de_( RIU DE SIURANA )"
28551,"RIU DE MONTSANT"
28555,"Tram de_( RIU DE MONTSANT )"
28556,"BARRANC DEL SOCARRRATS"
28557,"Tram de_( BARRANC DEL SOCARRRATS )"
28559,"BARRANC DE L'AUBAGA"
28560,"Tram de_( BARRANC DE L'AUBAGA )"
28561,"Tram de_( RIU DE MONTSANT )"
28562,"Tram de_( RIU DE MONTSANT )"
28563,"Tram de_( RIU DE MONTSANT )"
28564,"RIUET D'ESCALADEI"
28565,"Tram de_( RIUET D'ESCALADEI )"
28566,"Tram de_( RIUET D'ESCALADEI )"
28567,"Tram de_( RIUET D'ESCALADEI )"
28568,"Tram de_( RIUET D'ESCALADEI )"
28570,"Tram de_( RIUET D'ESCALADEI )"
28571,"BARRANC DE L'HORTA"
28572,"Tram de_( BARRANC DE L'HORTA )"
28573,"Tram de_( BARRANC DE L'HORTA )"
28574,"Tram de_( BARRANC DE L'HORTA )"
28575,"BARRANC DE PREGONA"
28576,"Tram de_( BARRANC DE PREGONA )"
28577,"Tram de_( SIN NOMBRE )"
28578,"Tram de_( SIN NOMBRE )"
28579,"Tram de_( RIU DE MONTSANT )"
28581,"BARRANC DE CAVALOCA"
28583,"Tram de_( BARRANC DE CAVALOCA )"
28584,"Tram de_( BARRANC DE CAVALOCA )"
28585,"Tram de_( BARRANC DE CAVALOCA )"
28587,"RACO DE LES VALLS"
